Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
176562,USB-C Charging Cable,1,11.95,4/29/2019 13:03,"381 Wilson St, San Francisco, CA 94016"
181693,USB-C Charging Cable,1,11.95,4/18/2019 18:42,"743 9th St, Seattle, WA 98101"
193365,Lightning Charging Cable,1,14.95,4/25/2019 22:59,"377 Washington St, Portland, OR 97035"
193366,Macbook Pro Laptop,1,1700,4/1/2019 14:51,"966 5th St, New York City, NY 10001"
193504,Apple Airpods Headphones,1,150,4/30/2019 15:24,"229 Hickory St, San Francisco, CA 94016"
193505,ThinkPad Laptop,1,999.99,4/4/2019 22:58,"661 Elm St, Dallas, TX 75001"
193506,Bose SoundSport Headphones,1,99.99,4/11/2019 19:42,"675 Cherry St, Los Angeles, CA 90001"
193507,iPhone,1,700,4/19/2019 16:59,"16 West St, New York City, NY 10001"
193507,34in Ultrawide Monitor,1,379.99,4/19/2019 16:59,"16 West St, New York City, NY 10001"
193508,USB-C Charging Cable,1,11.95,4/7/2019 10:49,"379 South St, Seattle, WA 98101"
193508,Wired Headphones,1,11.99,4/7/2019 10:49,"379 South St, Seattle, WA 98101"
193509,AAA Batteries (4-pack),1,2.99,4/5/2019 21:43,"341 North St, Boston, MA 02215"
193510,Lightning Charging Cable,1,14.95,4/12/2019 10:56,"324 Chestnut St, New York City, NY 10001"
193511,Google Phone,1,600,4/21/2019 11:14,"821 Elm St, Austin, TX 73301"
193511,Bose SoundSport Headphones,1,99.99,4/21/2019 11:14,"821 Elm St, Austin, TX 73301"
193511,Wired Headphones,1,11.99,4/21/2019 11:14,"821 Elm St, Austin, TX 73301"
193512,Apple Airpods Headphones,1,150,4/5/2019 16:00,"767 Hill St, Los Angeles, CA 90001"
193513,USB-C Charging Cable,1,11.95,4/15/2019 6:23,"791 Ridge St, Dallas, TX 75001"
193513,Bose SoundSport Headphones,1,99.99,4/15/2019 6:23,"791 Ridge St, Dallas, TX 75001"
193514,Bose SoundSport Headphones,1,99.99,4/13/2019 20:00,"213 Hickory St, San Francisco, CA 94016"
193515,Lightning Charging Cable,1,14.95,4/8/2019 13:15,"945 Cherry St, San Francisco, CA 94016"
193516,Google Phone,1,600,4/14/2019 3:25,"584 13th St, Portland, OR 97035"
193517,USB-C Charging Cable,1,11.95,4/25/2019 19:01,"919 Jackson St, New York City, NY 10001"
193518,USB-C Charging Cable,1,11.95,4/22/2019 19:26,"75 Willow St, Portland, OR 97035"
193519,Bose SoundSport Headphones,1,99.99,4/18/2019 16:50,"490 Johnson St, Boston, MA 02215"
193520,ThinkPad Laptop,1,999.99,4/7/2019 11:52,"374 Maple St, Atlanta, GA 30301"
193522,USB-C Charging Cable,1,11.95,4/11/2019 20:30,"191 6th St, San Francisco, CA 94016"
193523,iPhone,1,700,4/23/2019 14:54,"952 12th St, San Francisco, CA 94016"
193524,Lightning Charging Cable,1,14.95,4/25/2019 22:07,"897 North St, San Francisco, CA 94016"
193525,LG Dryer,1,600,4/3/2019 20:31,"785 Lake St, San Francisco, CA 94016"
193527,AA Batteries (4-pack),1,3.84,4/18/2019 7:03,"295 Walnut St, San Francisco, CA 94016"
193528,AA Batteries (4-pack),1,3.84,4/26/2019 20:13,"120 South St, New York City, NY 10001"
193529,USB-C Charging Cable,1,11.95,4/25/2019 12:30,"18 Dogwood St, Portland, OR 97035"
193530,LG Dryer,1,600,4/24/2019 10:44,"1 6th St, Austin, TX 73301"
193531,Lightning Charging Cable,1,14.95,4/3/2019 18:01,"88 South St, Portland, OR 97035"
193532,iPhone,1,700,4/13/2019 19:05,"233 8th St, Dallas, TX 75001"
193533,USB-C Charging Cable,1,11.95,4/12/2019 22:07,"915 Willow St, San Francisco, CA 94016"
193534,Bose SoundSport Headphones,1,99.99,4/15/2019 19:36,"525 Walnut St, Los Angeles, CA 90001"
193535,Apple Airpods Headphones,1,150,4/30/2019 19:06,"866 West St, Seattle, WA 98101"
193536,AAA Batteries (4-pack),1,2.99,4/29/2019 20:36,"225 13th St, Austin, TX 73301"
193537,Wired Headphones,1,11.99,4/30/2019 21:56,"16 Wilson St, Los Angeles, CA 90001"
193538,Lightning Charging Cable,1,14.95,4/1/2019 22:40,"280 Adams St, Boston, MA 02215"
193539,Google Phone,1,600,4/26/2019 16:02,"148 Church St, Atlanta, GA 30301"
193540,Lightning Charging Cable,1,14.95,4/10/2019 9:05,"478 Church St, Los Angeles, CA 90001"
193542,USB-C Charging Cable,1,11.95,4/6/2019 21:34,"885 6th St, Los Angeles, CA 90001"
193543,USB-C Charging Cable,1,11.95,4/27/2019 13:55,"158 Adams St, Portland, OR 97035"
193544,Lightning Charging Cable,1,14.95,4/15/2019 4:29,"474 Park St, Los Angeles, CA 90001"
193545,iPhone,1,700,4/4/2019 20:21,"670 North St, New York City, NY 10001"
193545,Vareebadd Phone,1,400,4/4/2019 20:21,"670 North St, New York City, NY 10001"
193546,Wired Headphones,1,11.99,4/20/2019 16:07,"885 Walnut St, Seattle, WA 98101"
193547,AAA Batteries (4-pack),1,2.99,4/12/2019 10:28,"222 1st St, Seattle, WA 98101"
193548,ThinkPad Laptop,1,999.99,4/26/2019 11:02,"187 Cherry St, New York City, NY 10001"
193549,Lightning Charging Cable,1,14.95,4/3/2019 11:41,"921 Lakeview St, Austin, TX 73301"
193550,Bose SoundSport Headphones,1,99.99,4/25/2019 17:30,"609 West St, Boston, MA 02215"
193551,Wired Headphones,1,11.99,4/8/2019 14:39,"774 Center St, San Francisco, CA 94016"
